inst#,actual,predicted,error,prediction
100,3:Right,3:Right,,0.996
101,3:Right,4:Left,+,0.908
102,3:Right,3:Right,,0.654
103,3:Right,3:Right,,0.936
104,3:Right,3:Right,,0.91
1,1:Not,1:Not,,0.919
2,1:Not,1:Not,,0.96
3,1:Not,1:Not,,0.928
4,1:Not,1:Not,,0.919
5,1:Not,1:Not,,0.777
6,1:Not,1:Not,,0.963
7,1:Not,2:Forward,+,0.772
8,1:Not,1:Not,,0.508
9,1:Not,1:Not,,0.722
10,1:Not,1:Not,,0.998
11,1:Not,1:Not,,0.919
12,1:Not,1:Not,,0.834
13,1:Not,1:Not,,0.997
14,1:Not,1:Not,,0.919
15,1:Not,1:Not,,0.96
16,1:Not,1:Not,,0.917
17,1:Not,1:Not,,0.813
18,1:Not,2:Forward,+,0.418
19,1:Not,1:Not,,0.579
20,1:Not,3:Right,+,0.97
21,1:Not,1:Not,,0.989
22,1:Not,1:Not,,0.55
23,1:Not,1:Not,,0.997
24,1:Not,1:Not,,0.959
25,1:Not,2:Forward,+,0.772
26,1:Not,1:Not,,0.92
27,1:Not,1:Not,,0.812
28,1:Not,1:Not,,0.96
29,1:Not,1:Not,,0.996
30,1:Not,1:Not,,0.756
31,1:Not,1:Not,,0.759
32,1:Not,1:Not,,0.92
33,1:Not,2:Forward,+,0.687
34,2:Forward,2:Forward,,0.972
35,2:Forward,2:Forward,,0.771
36,2:Forward,2:Forward,,0.973
37,2:Forward,2:Forward,,0.772
38,2:Forward,2:Forward,,0.976
39,2:Forward,1:Not,+,0.963
40,2:Forward,2:Forward,,0.771
41,2:Forward,2:Forward,,0.772
42,2:Forward,1:Not,+,0.928
43,2:Forward,2:Forward,,0.747
44,2:Forward,2:Forward,,0.98
45,2:Forward,2:Forward,,0.977
46,2:Forward,1:Not,+,0.964
47,2:Forward,2:Forward,,0.97
48,2:Forward,2:Forward,,0.971
49,2:Forward,2:Forward,,0.761
50,2:Forward,2:Forward,,0.951
51,2:Forward,1:Not,+,0.613
52,2:Forward,2:Forward,,0.613
53,2:Forward,2:Forward,,0.963
54,2:Forward,2:Forward,,0.91
55,2:Forward,2:Forward,,0.976
56,2:Forward,2:Forward,,0.966
57,2:Forward,2:Forward,,0.883
58,2:Forward,2:Forward,,0.75
59,2:Forward,2:Forward,,0.963
60,2:Forward,2:Forward,,0.708
61,2:Forward,2:Forward,,0.974
62,2:Forward,2:Forward,,0.97
63,2:Forward,2:Forward,,0.767
64,2:Forward,2:Forward,,0.979
65,2:Forward,2:Forward,,0.951
66,2:Forward,2:Forward,,0.98
67,2:Forward,2:Forward,,0.768
68,2:Forward,2:Forward,,0.978
69,2:Forward,1:Not,+,0.791
70,4:Left,4:Left,,0.999
71,4:Left,4:Left,,0.901
72,4:Left,4:Left,,0.997
73,4:Left,4:Left,,0.921
74,4:Left,1:Not,+,0.394
75,4:Left,4:Left,,0.957
76,4:Left,4:Left,,0.924
77,4:Left,4:Left,,0.983
78,4:Left,3:Right,+,0.76
79,4:Left,4:Left,,0.991
80,4:Left,4:Left,,0.974
81,4:Left,4:Left,,0.815
82,4:Left,2:Forward,+,0.935
83,4:Left,4:Left,,0.98
84,4:Left,1:Not,+,0.874
85,4:Left,4:Left,,0.999
86,3:Right,3:Right,,0.917
87,3:Right,3:Right,,0.764
88,3:Right,3:Right,,0.999
89,3:Right,3:Right,,0.951
90,3:Right,4:Left,+,0.876
91,3:Right,3:Right,,0.983
92,3:Right,3:Right,,0.967
93,3:Right,4:Left,+,0.84
94,3:Right,3:Right,,0.971
95,3:Right,3:Right,,0.996
96,3:Right,3:Right,,0.969
97,3:Right,1:Not,+,0.736
98,3:Right,3:Right,,0.962
99,3:Right,3:Right,,0.993
100,3:Right,3:Right,,0.965
101,3:Right,3:Right,,0.997
102,3:Right,3:Right,,0.946
103,3:Right,4:Left,+,0.999
104,3:Right,3:Right,,0.999
1,1:Not,1:Not,,0.588
2,1:Not,2:Forward,+,0.756
3,1:Not,2:Forward,+,0.993
4,1:Not,1:Not,,0.996
5,1:Not,2:Forward,+,0.727
6,1:Not,1:Not,,0.971
7,1:Not,1:Not,,0.691
8,1:Not,1:Not,,0.988
9,1:Not,2:Forward,+,0.617
10,1:Not,2:Forward,+,0.605
11,1:Not,1:Not,,0.862
12,1:Not,4:Left,+,0.939
13,1:Not,1:Not,,0.6
14,1:Not,1:Not,,0.51
15,1:Not,1:Not,,0.884
16,1:Not,1:Not,,0.959
17,1:Not,1:Not,,0.956
18,1:Not,1:Not,,0.774
19,1:Not,1:Not,,0.599
20,1:Not,1:Not,,0.538
21,1:Not,1:Not,,0.621
22,1:Not,1:Not,,0.98
23,1:Not,1:Not,,0.964
24,1:Not,1:Not,,0.906
25,1:Not,3:Right,+,0.869
26,1:Not,1:Not,,0.643
27,1:Not,1:Not,,0.643
28,1:Not,1:Not,,0.947
29,1:Not,2:Forward,+,0.727
30,1:Not,1:Not,,0.996
31,1:Not,1:Not,,0.967
32,1:Not,2:Forward,+,0.727
33,1:Not,3:Right,+,0.886
34,2:Forward,2:Forward,,0.91
35,2:Forward,2:Forward,,0.918
36,2:Forward,2:Forward,,0.998
37,2:Forward,2:Forward,,0.909
38,2:Forward,2:Forward,,0.995
39,2:Forward,2:Forward,,0.97
40,2:Forward,1:Not,+,0.995
41,2:Forward,2:Forward,,0.731
42,2:Forward,2:Forward,,0.997
43,2:Forward,2:Forward,,0.914
44,2:Forward,2:Forward,,0.917
45,2:Forward,2:Forward,,1
46,2:Forward,2:Forward,,1
47,2:Forward,2:Forward,,0.784
48,2:Forward,2:Forward,,0.978
49,2:Forward,4:Left,+,0.654
50,2:Forward,2:Forward,,0.941
51,2:Forward,2:Forward,,0.759
52,2:Forward,2:Forward,,0.752
53,2:Forward,2:Forward,,0.985
54,2:Forward,2:Forward,,1
55,2:Forward,2:Forward,,0.863
56,2:Forward,2:Forward,,0.997
57,2:Forward,2:Forward,,0.788
58,2:Forward,2:Forward,,0.851
59,2:Forward,2:Forward,,0.767
60,2:Forward,2:Forward,,0.988
61,2:Forward,2:Forward,,0.914
62,2:Forward,2:Forward,,0.914
63,2:Forward,2:Forward,,0.999
64,2:Forward,2:Forward,,0.924
65,2:Forward,2:Forward,,0.93
66,2:Forward,2:Forward,,0.904
67,2:Forward,2:Forward,,0.768
68,2:Forward,2:Forward,,0.728
69,2:Forward,2:Forward,,1
70,4:Left,4:Left,,1
71,4:Left,4:Left,,0.999
72,4:Left,4:Left,,0.573
73,4:Left,4:Left,,1
74,4:Left,4:Left,,0.999
75,4:Left,4:Left,,1
76,4:Left,3:Right,+,0.787
77,4:Left,4:Left,,1
78,4:Left,4:Left,,0.8
79,4:Left,4:Left,,1
80,4:Left,4:Left,,0.807
81,4:Left,4:Left,,0.571
82,4:Left,4:Left,,0.999
83,4:Left,4:Left,,0.589
84,4:Left,4:Left,,0.999
85,4:Left,4:Left,,0.999
86,3:Right,3:Right,,0.888
87,3:Right,3:Right,,0.996
88,3:Right,3:Right,,0.915
89,3:Right,3:Right,,0.939
90,3:Right,1:Not,+,0.995
91,3:Right,3:Right,,0.91
92,3:Right,3:Right,,0.938
93,3:Right,3:Right,,0.997
94,3:Right,3:Right,,0.95
95,3:Right,3:Right,,0.985
96,3:Right,1:Not,+,0.619
97,3:Right,3:Right,,0.91
98,3:Right,1:Not,+,0.575
99,3:Right,3:Right,,0.933
100,3:Right,3:Right,,0.934
101,3:Right,3:Right,,0.956
102,3:Right,3:Right,,0.924
103,3:Right,3:Right,,0.978
104,3:Right,3:Right,,0.997
1,1:Not,2:Forward,+,0.957
2,1:Not,1:Not,,0.874
3,1:Not,2:Forward,+,0.933
4,1:Not,1:Not,,0.875
5,1:Not,1:Not,,0.922
6,1:Not,1:Not,,0.974
7,1:Not,1:Not,,0.973
8,1:Not,1:Not,,0.935
9,1:Not,1:Not,,0.876
10,1:Not,1:Not,,0.719
11,1:Not,1:Not,,0.961
12,1:Not,2:Forward,+,0.793
13,1:Not,1:Not,,0.876
14,1:Not,1:Not,,0.941
15,1:Not,1:Not,,0.875
16,1:Not,1:Not,,0.876
17,1:Not,3:Right,+,0.519
18,1:Not,1:Not,,0.734
19,1:Not,1:Not,,0.929
20,1:Not,1:Not,,0.947
21,1:Not,1:Not,,0.875
22,1:Not,1:Not,,0.54
23,1:Not,2:Forward,+,0.81
24,1:Not,1:Not,,0.642
25,1:Not,1:Not,,0.852
26,1:Not,1:Not,,0.877
27,1:Not,2:Forward,+,0.663
28,1:Not,1:Not,,0.6
29,1:Not,1:Not,,0.947
30,1:Not,2:Forward,+,0.668
31,1:Not,1:Not,,0.996
32,1:Not,1:Not,,0.831
33,2:Forward,2:Forward,,0.788
34,2:Forward,2:Forward,,0.718
35,2:Forward,2:Forward,,0.936
36,2:Forward,2:Forward,,0.927
37,2:Forward,2:Forward,,0.999
38,2:Forward,2:Forward,,0.999
39,2:Forward,2:Forward,,0.998
40,2:Forward,2:Forward,,0.953
41,2:Forward,2:Forward,,0.957
42,2:Forward,2:Forward,,0.752
43,2:Forward,2:Forward,,0.996
44,2:Forward,2:Forward,,0.67
45,2:Forward,2:Forward,,0.987
46,2:Forward,2:Forward,,0.997
47,2:Forward,2:Forward,,0.778
48,2:Forward,2:Forward,,0.957
49,2:Forward,2:Forward,,0.957
50,2:Forward,2:Forward,,0.958
51,2:Forward,2:Forward,,0.958
52,2:Forward,1:Not,+,0.874
53,2:Forward,2:Forward,,0.616
54,2:Forward,2:Forward,,0.962
55,2:Forward,2:Forward,,0.998
56,2:Forward,2:Forward,,0.952
57,2:Forward,2:Forward,,0.951
58,2:Forward,2:Forward,,0.957
59,2:Forward,2:Forward,,0.793
60,2:Forward,2:Forward,,0.951
61,2:Forward,2:Forward,,0.992
62,2:Forward,2:Forward,,0.791
63,2:Forward,2:Forward,,0.957
64,2:Forward,2:Forward,,0.995
65,2:Forward,2:Forward,,0.957
66,2:Forward,2:Forward,,0.931
67,2:Forward,1:Not,+,0.876
68,2:Forward,2:Forward,,0.958
69,2:Forward,2:Forward,,0.795
70,4:Left,4:Left,,0.99
71,4:Left,4:Left,,0.852
72,4:Left,4:Left,,0.995
73,4:Left,4:Left,,0.881
74,4:Left,4:Left,,0.982
75,4:Left,4:Left,,0.995
76,4:Left,4:Left,,0.696
77,4:Left,4:Left,,0.885
78,4:Left,4:Left,,0.995
79,4:Left,4:Left,,0.895
80,4:Left,4:Left,,0.916
81,4:Left,4:Left,,0.564
82,4:Left,4:Left,,0.995
83,4:Left,4:Left,,0.96
84,4:Left,4:Left,,0.982
85,4:Left,4:Left,,0.87
86,3:Right,3:Right,,0.981
87,3:Right,3:Right,,0.911
88,3:Right,3:Right,,0.913
89,3:Right,4:Left,+,0.891
90,3:Right,4:Left,+,0.4
91,3:Right,3:Right,,0.995
92,3:Right,3:Right,,0.996
93,3:Right,3:Right,,0.996
94,3:Right,3:Right,,0.957
95,3:Right,3:Right,,0.992
96,3:Right,3:Right,,0.995
97,3:Right,3:Right,,0.996
98,3:Right,3:Right,,0.994
99,3:Right,3:Right,,0.995
100,3:Right,3:Right,,0.979
101,3:Right,3:Right,,0.995
102,3:Right,3:Right,,0.99
103,3:Right,3:Right,,0.966
104,3:Right,3:Right,,0.991
1,1:Not,3:Right,+,1
2,1:Not,2:Forward,+,0.536
3,1:Not,2:Forward,+,0.713
4,1:Not,1:Not,,0.942
5,1:Not,2:Forward,+,0.694
6,1:Not,1:Not,,0.94
7,1:Not,1:Not,,0.93
8,1:Not,1:Not,,0.837
9,1:Not,3:Right,+,0.94
10,1:Not,1:Not,,1
11,1:Not,3:Right,+,0.798
12,1:Not,1:Not,,0.944
13,1:Not,1:Not,,0.942
14,1:Not,1:Not,,0.943
15,1:Not,1:Not,,0.945
16,1:Not,1:Not,,1
17,1:Not,1:Not,,0.932
18,1:Not,3:Right,+,0.998
19,1:Not,1:Not,,1
20,1:Not,1:Not,,0.751
21,1:Not,3:Right,+,0.97
22,1:Not,1:Not,,1
23,1:Not,1:Not,,0.945
24,1:Not,2:Forward,+,0.99
25,1:Not,1:Not,,0.945
26,1:Not,1:Not,,0.945
27,1:Not,1:Not,,0.778
28,1:Not,2:Forward,+,0.534
29,1:Not,1:Not,,0.959
30,1:Not,1:Not,,1
31,1:Not,1:Not,,0.978
32,1:Not,1:Not,,0.585
33,2:Forward,2:Forward,,0.988
34,2:Forward,2:Forward,,1
35,2:Forward,2:Forward,,0.717
36,2:Forward,2:Forward,,0.707
37,2:Forward,2:Forward,,0.988
38,2:Forward,2:Forward,,0.819
39,2:Forward,2:Forward,,0.987
40,2:Forward,2:Forward,,0.944
41,2:Forward,2:Forward,,0.986
42,2:Forward,2:Forward,,0.568
43,2:Forward,2:Forward,,0.991
44,2:Forward,2:Forward,,0.641
45,2:Forward,2:Forward,,0.759
46,2:Forward,2:Forward,,0.691
47,2:Forward,1:Not,+,0.654
48,2:Forward,2:Forward,,0.727
49,2:Forward,2:Forward,,0.771
50,2:Forward,2:Forward,,0.966
51,2:Forward,2:Forward,,0.692
52,2:Forward,2:Forward,,0.693
53,2:Forward,1:Not,+,0.942
54,2:Forward,2:Forward,,0.981
55,2:Forward,2:Forward,,0.982
56,2:Forward,2:Forward,,0.987
57,2:Forward,2:Forward,,1
58,2:Forward,2:Forward,,0.983
59,2:Forward,2:Forward,,0.987
60,2:Forward,2:Forward,,0.69
61,2:Forward,2:Forward,,0.982
62,2:Forward,2:Forward,,0.635
63,2:Forward,2:Forward,,0.693
64,2:Forward,2:Forward,,0.99
65,2:Forward,2:Forward,,0.99
66,2:Forward,2:Forward,,0.623
67,2:Forward,2:Forward,,0.917
68,2:Forward,2:Forward,,1
69,2:Forward,2:Forward,,0.987
70,4:Left,4:Left,,0.97
71,4:Left,4:Left,,0.888
72,4:Left,4:Left,,0.999
73,4:Left,4:Left,,0.892
74,4:Left,4:Left,,0.868
75,4:Left,4:Left,,0.886
76,4:Left,4:Left,,0.882
77,4:Left,4:Left,,0.999
78,4:Left,4:Left,,0.873
79,4:Left,1:Not,+,1
80,4:Left,4:Left,,0.884
81,4:Left,4:Left,,0.885
82,4:Left,4:Left,,0.904
83,4:Left,1:Not,+,0.978
84,4:Left,4:Left,,0.819
85,4:Left,1:Not,+,1
86,3:Right,3:Right,,1
87,3:Right,3:Right,,0.816
88,3:Right,3:Right,,0.801
89,3:Right,3:Right,,0.838
90,3:Right,3:Right,,1
91,3:Right,3:Right,,0.504
92,3:Right,3:Right,,1
93,3:Right,3:Right,,0.805
94,3:Right,4:Left,+,0.877
95,3:Right,3:Right,,1
96,3:Right,3:Right,,0.798
97,3:Right,3:Right,,0.995
98,3:Right,3:Right,,0.955
99,3:Right,3:Right,,0.997
100,3:Right,3:Right,,1
101,3:Right,3:Right,,0.996
102,3:Right,3:Right,,1
103,3:Right,3:Right,,1
104,3:Right,3:Right,,1
1,1:Not,2:Forward,+,0.576
2,1:Not,1:Not,,0.981
3,1:Not,1:Not,,0.971
4,1:Not,1:Not,,0.963
5,1:Not,2:Forward,+,0.743
6,1:Not,1:Not,,0.487
7,1:Not,1:Not,,0.503
8,1:Not,2:Forward,+,0.929
9,1:Not,1:Not,,0.918
10,1:Not,1:Not,,0.963
11,1:Not,1:Not,,0.952
12,1:Not,1:Not,,0.915
13,1:Not,2:Forward,+,0.966
14,1:Not,1:Not,,0.964
15,1:Not,1:Not,,0.492
16,1:Not,1:Not,,0.431
17,1:Not,3:Right,+,0.826
18,1:Not,1:Not,,0.724
19,1:Not,2:Forward,+,0.958
20,1:Not,1:Not,,0.971
21,1:Not,1:Not,,0.962
22,1:Not,1:Not,,0.479
23,1:Not,1:Not,,0.954
24,1:Not,2:Forward,+,0.638
25,1:Not,1:Not,,0.963
26,1:Not,2:Forward,+,0.654
27,1:Not,2:Forward,+,0.548
28,1:Not,2:Forward,+,0.897
29,1:Not,2:Forward,+,0.705
30,1:Not,2:Forward,+,0.694
31,1:Not,1:Not,,0.963
32,1:Not,1:Not,,0.962
33,2:Forward,2:Forward,,0.71
34,2:Forward,2:Forward,,0.471
35,2:Forward,1:Not,+,0.478
36,2:Forward,2:Forward,,0.57
37,2:Forward,2:Forward,,0.92
38,2:Forward,2:Forward,,0.925
39,2:Forward,2:Forward,,0.938
40,2:Forward,2:Forward,,0.801
41,2:Forward,2:Forward,,0.944
42,2:Forward,2:Forward,,0.601
43,2:Forward,2:Forward,,0.862
44,2:Forward,2:Forward,,0.958
45,2:Forward,2:Forward,,0.899
46,2:Forward,2:Forward,,0.926
47,2:Forward,2:Forward,,0.973
48,2:Forward,2:Forward,,0.906
49,2:Forward,2:Forward,,0.66
50,2:Forward,2:Forward,,0.451
51,2:Forward,2:Forward,,0.921
52,2:Forward,2:Forward,,0.506
53,2:Forward,2:Forward,,0.921
54,2:Forward,2:Forward,,0.926
55,2:Forward,2:Forward,,0.978
56,2:Forward,2:Forward,,0.57
57,2:Forward,2:Forward,,0.911
58,2:Forward,2:Forward,,0.931
59,2:Forward,2:Forward,,0.922
60,2:Forward,2:Forward,,0.931
61,2:Forward,2:Forward,,0.928
62,2:Forward,2:Forward,,0.782
63,2:Forward,2:Forward,,0.931
64,2:Forward,2:Forward,,0.996
65,2:Forward,1:Not,+,0.519
66,2:Forward,2:Forward,,0.929
67,2:Forward,2:Forward,,0.779
68,2:Forward,2:Forward,,0.965
69,2:Forward,2:Forward,,0.907
70,4:Left,4:Left,,1
71,4:Left,4:Left,,1
72,4:Left,4:Left,,0.585
73,4:Left,4:Left,,0.835
74,4:Left,4:Left,,0.963
75,4:Left,2:Forward,+,0.644
76,4:Left,3:Right,+,0.683
77,4:Left,2:Forward,+,0.895
78,4:Left,3:Right,+,0.605
79,4:Left,1:Not,+,0.577
80,4:Left,4:Left,,1
81,4:Left,3:Right,+,0.772
82,4:Left,4:Left,,1
83,4:Left,4:Left,,0.8
84,4:Left,4:Left,,1
85,4:Left,2:Forward,+,0.546
86,3:Right,3:Right,,0.821
87,3:Right,3:Right,,0.97
88,3:Right,3:Right,,0.989
89,3:Right,3:Right,,0.821
90,3:Right,3:Right,,0.941
91,3:Right,3:Right,,0.824
92,3:Right,3:Right,,0.969
93,3:Right,3:Right,,0.972
94,3:Right,3:Right,,0.823
95,3:Right,3:Right,,0.944
96,3:Right,3:Right,,0.965
97,3:Right,3:Right,,0.822
98,3:Right,3:Right,,0.814
99,3:Right,3:Right,,0.967
100,3:Right,4:Left,+,0.917
101,3:Right,3:Right,,0.699
102,3:Right,3:Right,,0.971
103,3:Right,3:Right,,0.979
104,1:?,2:Forward,,0.936
1,1:Not,1:Not,,0.93
2,1:Not,3:Right,+,0.931
3,1:Not,1:Not,,0.931
4,1:Not,1:Not,,0.776
5,1:Not,1:Not,,0.825
6,1:Not,1:Not,,0.932
7,1:Not,1:Not,,0.549
8,1:Not,2:Forward,+,0.644
9,1:Not,1:Not,,0.897
10,1:Not,1:Not,,0.981
11,1:Not,1:Not,,0.983
12,1:Not,1:Not,,0.874
13,1:Not,4:Left,+,0.999
14,1:Not,1:Not,,0.983
15,1:Not,2:Forward,+,0.785
16,1:Not,2:Forward,+,0.988
17,1:Not,1:Not,,0.481
18,1:Not,1:Not,,0.935
19,1:Not,3:Right,+,0.931
20,1:Not,1:Not,,0.978
21,1:Not,1:Not,,0.501
22,1:Not,1:Not,,0.737
23,1:Not,4:Left,+,0.999
24,1:Not,1:Not,,0.932
25,1:Not,1:Not,,0.983
26,1:Not,1:Not,,0.983
27,1:Not,1:Not,,0.923
28,1:Not,1:Not,,0.986
29,1:Not,1:Not,,0.979
30,1:Not,2:Forward,+,0.993
31,1:Not,1:Not,,0.534
32,1:Not,1:Not,,0.982
33,2:Forward,2:Forward,,0.979
34,2:Forward,2:Forward,,0.985
35,2:Forward,1:Not,+,0.512
36,2:Forward,2:Forward,,0.897
37,2:Forward,2:Forward,,0.779
38,2:Forward,2:Forward,,0.884
39,2:Forward,2:Forward,,0.888
40,2:Forward,1:Not,+,0.601
41,2:Forward,2:Forward,,0.611
42,2:Forward,1:Not,+,0.56
43,2:Forward,2:Forward,,0.883
44,2:Forward,2:Forward,,0.99
45,2:Forward,2:Forward,,0.821
46,2:Forward,2:Forward,,0.894
47,2:Forward,1:Not,+,0.561
48,2:Forward,2:Forward,,0.992
49,2:Forward,1:Not,+,0.573
50,2:Forward,2:Forward,,0.885
51,2:Forward,2:Forward,,0.992
52,2:Forward,2:Forward,,0.991
53,2:Forward,1:Not,+,0.545
54,2:Forward,2:Forward,,0.572
55,2:Forward,1:Not,+,0.538
56,2:Forward,2:Forward,,0.506
57,2:Forward,1:Not,+,0.499
58,2:Forward,1:Not,+,0.549
59,2:Forward,1:Not,+,0.551
60,2:Forward,2:Forward,,0.881
61,2:Forward,2:Forward,,0.72
62,2:Forward,2:Forward,,0.853
63,2:Forward,1:Not,+,0.529
64,2:Forward,2:Forward,,0.986
65,2:Forward,1:Not,+,0.559
66,2:Forward,1:Not,+,0.546
67,2:Forward,2:Forward,,0.993
68,2:Forward,2:Forward,,0.992
69,2:Forward,2:Forward,,0.99
70,4:Left,4:Left,,1
71,4:Left,4:Left,,0.975
72,4:Left,4:Left,,0.997
73,4:Left,4:Left,,0.99
74,4:Left,4:Left,,0.992
75,4:Left,4:Left,,0.979
76,4:Left,4:Left,,0.795
77,4:Left,4:Left,,0.913
78,4:Left,4:Left,,0.998
79,4:Left,4:Left,,0.991
80,4:Left,4:Left,,0.955
81,4:Left,4:Left,,0.998
82,4:Left,4:Left,,0.974
83,4:Left,4:Left,,0.999
84,4:Left,1:Not,+,0.861
85,4:Left,4:Left,,0.996
86,3:Right,3:Right,,0.931
87,3:Right,3:Right,,0.841
88,3:Right,1:Not,+,0.958
89,3:Right,2:Forward,+,0.417
90,3:Right,3:Right,,0.8
91,3:Right,3:Right,,0.931
